0,1,2,3,4,5,Delta_0,Delta_1,Delta_2,Delta_3,Delta_4,Delta_5
,0.6082063406361322,-1.7452179484791035,,-1.9523034632848069,5.0095636950636475,0,1,1,0,1,1
-1.2177568434272938,0.07166616027467504,0.12575819059147908,,,-6.703415100436896,1,1,1,0,0,1
0.4837287749511686,0.8028097706384831,-1.7464456143534866,3.851948118405375,,1.282640567787668,1,1,1,1,0,1
2.5388409245993206,,-0.4027610680232952,1.7225605013585188,,5.252540955058149,1,0,1,1,0,1
0.24607301663403025,,0.2503495520812108,-1.100212781630249,-0.809658785457645,-1.4287432670077274,1,0,1,1,1,1
,1.0844326281914844,,2.233395819804672,,-3.129131632206292,0,1,0,1,0,1
,-0.2622996607403819,-1.035251034470984,3.877481340907582,,5.034532014441289,0,1,1,1,0,1
1.2374535571733771,,,,-0.3205618018282077,-2.54612644781119,1,0,0,0,1,1
-0.716110985964702,,0.8602089881153949,-3.396166070376214,,-4.66378384092816,1,0,1,1,0,1
,,,-0.3609119922128906,-3.9272461642166268,-5.683648155556471,0,0,0,1,1,1
,,,,-1.1649601435346457,-0.98100569583667,0,0,0,0,1,1
1.7843195799846834,,1.0703889909880988,,,3.244974612887397,1,0,1,0,0,1
1.5272427216311253,-0.19545516395297566,,,-1.2806876543432746,0.9744678461483876,1,1,0,0,1,1
4.7030015900676325,,,,,11.598158794648079,1,0,0,0,0,1
,-0.5188344034465511,,-2.4381948440453023,,-3.4219645889346744,0,1,0,1,0,1
,0.16744604496527032,0.4729932009537563,-2.7780038146458605,,-10.543397459648546,0,1,1,1,0,1
-0.43681449944428163,0.9716974540153003,-1.6831380652731014,3.11785894313701,,-0.7789740541780259,1,1,1,1,0,1
-1.2830566270379058,,,,,-4.5162492478793705,1,0,0,0,0,1
,,2.0609530727922163,-4.450804033481869,0.2289351175103177,-3.2536468281122883,0,0,1,1,1,1
0.4559327473450906,-0.6325109454749103,,0.953804785963643,,-2.0819293087363357,1,1,0,1,0,1
1.6021258698790848,-1.0271846369939688,-0.6649853943602488,1.403078710067113,-0.10267095848696817,1.1599275253030377,1,1,1,1,1,1
2.180587731984728,,,,,7.189671152032881,1,0,0,0,0,1
-1.4518882230513444,,,-1.8598250482037697,-3.31818530105788,-4.513177672747146,1,0,0,1,1,1
3.8507531231849215,,,4.2141920831035335,,10.484204477499413,1,0,0,1,0,1
,,-2.5556475735424,6.258561720768479,,7.039703484588,0,0,1,1,0,1
,,1.1528147123141765,,,1.6748323243903829,0,0,1,0,0,1
-1.3117335534690926,-0.2609780752485274,,-2.823743976059858,,-5.681932067130275,1,1,0,1,0,1
,-2.0658205871751094,,,1.0386795477246773,-1.9819677627329066,0,1,0,0,1,1
1.6478278557554993,-0.22617240625202217,-0.7730576550744193,1.7343940730934602,,4.171365012981998,1,1,1,1,0,1
-1.06143134907849,1.171836947978303,-2.1100593758193433,2.1640185306563406,-4.939080180875078,-4.167150344254996,1,1,1,1,1,1
,,,,,0.7957143807653664,0,0,0,0,0,1
,0.25920987395507605,,1.8711463717155228,-2.159941501905543,0.6979638969921772,0,1,0,1,1,1
2.6838571786171785,0.7311892867512866,-2.2691419352703246,4.8930663934344025,-0.5675944258230617,6.899547823391794,1,1,1,1,1,1
,-0.6727471431112215,,,,-4.029507681173535,0,1,0,0,0,1
,-0.6882978707283243,,,-1.2571180004467928,-0.3531231077682308,0,1,0,0,1,1
2.417435411324998,,,,,4.824548903110561,1,0,0,0,0,1
,0.03536070162952626,,0.48620086836175597,,-0.9272314232994014,0,1,0,1,0,1
,0.8818813766423859,,4.083335813759621,,1.863151326286363,0,1,0,1,0,1
